| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| Acrylonitrile | Vinyl ethyl oxalate |  | 1.34 | 0.45 | 0.06 | 0.03 | N | 285 |
| Acrylonitrile | Vinyl ethyl sulfide |  | 0.09 | 0.01 | 0.06 | 0.03 | N | 285 |
| Acrylonitrile | Vinyl ethyl sulfide |  | 0.06 | 0.01 | 0.05 | 0.03 | N | 336 |
| Acrylonitrile | Vinyl ethyl sulfoxide |  | 1.63 | 0.16 | -0.08 | 0.14 | Y | 286 |
| Acrylonitrile | Vinyl fluoride |  | 44 |  | 0.005 |  |  | 528 |
| Acrylonitrile | Vinyl fluoride |  | 24 |  | 1 |  |  | 590 |
| Acrylonitrile Acrylonitrile | Vinyl formate Vinyl hendecanoate |  | 2.54 1.88 | 1.79 0.44 | -0.004 0.09 | 0.12 0.91 | Y Y | 47 145 |
| Acrylonitrile Acrylonitrile | Vinyl isobutyl ether Vinyl isobutyl ether |  | -0.24 -0.05 | 0.26 0.07 | 0.7 0.99 | 0.09 0.06 | N N | 322 322 |
| Acrylonitrile | Vinyl isobutyl ether |  | 0.98 | 0.15 | -0.04 | 0.01 | N | 347 |
| Acrylonitrile | Vinyl isobutyl ether |  | 1.26 | 0.19 | -0.04 | 0.02 | N | 347 |
| Acrylonitrile |  | Vinyl isobutyl sulfide | 0.08 | 0.005 | 0.03 | 0.01 | N | 285 |
| Acrylonitrile |  | Vinyl isobutyl sulfide | 0.062 | 0.004 | 0.022 | 0.038 | Y | 303 |
| Acrylonitrile |  | Vinyl isobutyl sulfide | 0.08 | 0.004 | 0.03 | 0.01 | N | 336 |
| Acrylonitrile |  | Vinyl isothiocyanate | 0.36 |  | 1.4 |  |  | 542 |
| Acrylonitrile | Vinyl laurate |  | 4 |  | 0.04 |  |  | 381 |
| Acrylonitrile |  | Vinyl methyl ketone | 0.59 | 0.13 | 1.75 | 0.11 | Y | 140 |
| Acrylonitrile | Vinyl methyl ketone |  | 0.63 |  | 1.39 |  |  | 504 |
| Acrylonitrile | Vinyl octadecyl ether |  | 0.85 |  | 0 |  |  | 373 |
| Acrylonitrile | Vinyl octyl ether |  | 0.81 |  | 0 |  |  | 373 |
| Acrylonitrile | Vinyl phenyl ether |  | 2.5 |  | 0.23 |  |  | 556 |
| Acrylonitrile | Vinyl phenyl sulfide |  | 0.11 | 0.01 | 0.03 | 0.02 | N | 285 |
| Acrylonitrile | Vinyl phenyl sulfide |  | 0.11 | 0.01 | 0.03 | 0.01 | N | 336 |
| Acrylonitrile | Vinyl stearate |  | 4.639 | 0.015 | 0.078 | 0.007 | Y | 145 |
| Acrylonitrile | Vinyl tert-butyl sulfide |  | 0.09 | 0.024 | 0 | 0.013 | Y | 303 |
| Acrylonitrile | Vinyl trichloroacetate |  | 7.34 | 0.9 | 0.047 | 0.039 | Y | 362 |
| Acrylonitrile | Vinyl, α-chloro-, triethoxysilane |  |  |  |  |  | Y |  |
| Acrylonitrile | Vinyl, p-, benzylethylcarbinol |  | 0.04 |  | 0.31 |  |  | 591 |
| Acrylonitrile | Vinyl, p-, benzylmethylcarbinol |  | 0.11 | 0.17 | 0.54 | 0.2 | N | 48 |
| Acrylonitrile | Vinyl-tris(trimethoxysiloxy)-silane |  | 3.9 |  | 0.07 |  |  | 209 |
| Acrylonitrile | Vinyl-tris(trimethoxysiloxy)-silane |  | 3.85 |  | 0.08 |  |  | 573 |
| Acrylonitrile | Vinylbenzoate, p-, sodium |  | 0.174 | 0.04 | 0.23 | 0.34 | Y | 175 |
| Acrylonitrile | Vinylbenzoic acid, p- |  | 0.06 | 0.009 | 1.63 | 0.42 | Y | 175 |
| Acrylonitrile | Vinylene carbonate |  | 14.9 |  | 0.08 |  |  | 579 |
| Acrylonitrile | Vinylethynyl-4-piperidinol, |  | 0.08 |  | 0.38 |  |  | 783 |
|  | 1,2,5-trimethyl |  |  |  |  |  |  |  |
| Acrylonitrile | Vinylferrocene |  | 0.186 | 0.025 | 0.165 | 0.092 | Y | 294 |
| Acrylonitrile | Vinylferrocene |  | 0.16 |  | 0.15 |  |  | 294 |
| Acrylonitrile | Vinylhydroquinone |  | 0.56 | 0.36 | 0.04 | 0.03 | N | 338 |
| Acrylonitrile | Vinylidene chloride |  | 0.92 | 0.11 | 0.32 | 0.14 | Y | 138 |
| Acrylonitrile | Vinylidene chloride |  | 1.04 | 0.2 | 0.28 | 0.034 | Y | 238 |
| Acrylonitrile | Vinylidene chloride |  | 0.44 |  | 0.4 |  |  | 404 |
| Acrylonitrile | Vinylidene chloride |  | 0.58 |  | 0.42 |  |  | 404 |
| Acrylonitrile | Vinylidene chloride |  | 0.65 |  | 0.49 |  |  | 404 |
| Acrylonitrile | Vinylidene chloride |  | 0.57 |  | 0.69 |  |  | 404 |
| Acrylonitrile | Vinylidene chloride |  | 0.5 |  | 0.76 |  |  | 404 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
|  | tetrafluoroborate |  |  |  |  |  |  |
| Acrylonitrile, 2-fluoro- | Styrene |  |  |  |  | Y | 884 |
| Acrylonitrile, a-chloro- | Styrene | 0.03 | 0.02 | 0.13 | 0.04 |  | 806 |
| Acrylonitrile, a-perfluoropropyl- | Methacrylate, methyl | 0 | 0.05 | 1.9 | 0.3 |  | 926 |
|  | Methacrylate, methyl | 1.51 |  | 0.48 |  |  | 508 |
| dinitrobenzoate |  |  |  |  |  |  |  |
| Acryloyl-β-hydroxyethyl-3,5- | Methacrylate, N-ethyl- | 0.103 | 0.015 | 1.425 | 0.09 | Y | 701 |
| dinitrobenzoate | 3-hydroxymethylcarbazolyl |  |  |  |  |  |  |
| Acryloyloxy, 2-, benzoic acid | Methacrylate, N-methyl-N-phenyl- | 1.82 | 0.2 | 0.22 | 0.03 | N | 651 |
|  | 2-amino |  |  |  |  |  |  |
| Acryloyloxy, 2-, benzoic acid | Styrene | 0.64 | 0.02 | 0.06 | 0.02 | N | 651 |
| Allyl acetate | Vinyl chloride | 1.2 |  |  |  |  | 470 |
| Allyl alcohol | Acrylonitrile |  |  |  |  | N | 108 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrolein | Styrenesulfonate, p-, sodium | 0.395 | 0.092 | 0.327 | 0.033 | Y | 57 |
| Acrolein | Styrenesulfonate, p-, sodium | 0.26 | 0.16 | 0.047 | 0.071 | Y | 57 |
| Acrolein | Styrenesulfonate, p-, sodium | 0.113 | 0.018 | 0.01 | 0.009 | Y | 57 |
| Acrolein Acrolein diethylacetal | Vinyl chloride Acrylonitrile | 5.22 0.02 | 0.13 | 0.03 11.19 | 0.11 | N | 271 767 |
| Acrolein, methyl- Acrolein, methyl- | Acrylonitrile Acrylonitrile | 1.7 3.8 |  | 0.15 0.15 |  |  | 455 587 |
| Acryl-2'-ethyl-4,5,7-trinitro- | Acrylate, N-(2-hydroxyethyl)- | 0.585 | 0.028 | 0.912 | 0.079 | Y | 715 |
| 9-flurenone-2-carboxylate | carbazolyl |  |  |  |  |  |  |
| Acryl-2'-ethyl-4,5,7-trinitro-9-flurenone- | Methacrylate, N-(2-hydroxyethyl)- | 0.102 | 0.022 | 0.773 | 0.096 | Y | 703 |
| 2-carboxylate | carbazolyl |  |  |  |  |  |  |
| Acrylamide | Cinnamic acid, cis- | 3.84 | 0.68 |  | 0.28 | Y | 298 |
| Acrylamide Acrylamide | Crotonic acid Crotonic acid | 4.72 5.32 |  | 0.11 0.12 |  |  | 569 569 |
| Acrylamide | Crotonic acid, cis- |  |  |  |  | Y | 341 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Allyl chloride | Acrylate, methyl |  |  |  |  | Y | 204 |
| Allyl chloride | Methacrylate, methyl |  |  |  |  | Y | 204 |
| Allyl chloride | Styrene |  |  |  |  |  | 204 |
| Allylbenzene | Maleic anhydride |  |  |  |  | Y | 351 |
| Allylstearamide, N- | Acrylonitrile | 0.03 | 0.27 | 3.79 | 0.28 | Y | 119 |
| Allylstearamide, N- | Vinyl acetate | 0.68 | 0.26 | 0.923 | 0.092 | Y | 119 |
| Allylstearamide, N- | Vinylidene chloride | -0.24 | 0.19 | 5.22 | 0.15 | Y | 119 |
| Benzenesulfamide, p-methacrylamide- | Vinyl butyl ether | 3.4 | 0.1 | 0 |  |  | 1005 |
| Benzoate, p-(acryloylethoxy)-, | Benzoate, p-(acryloyloxy)-, | 0.36 |  | 0.91 |  |  | 881 |
| p-butoxy phenyl | p-butoxy phenyl |  |  |  |  |  |  |
| p-butoxy phenyl |  |  |  |  |  |  |  |
| Benzoate, p-(acryloyloxy)-, | Benzoate, p-(acryloyloxy)-, p-butoxy | 0.91 |  | 0.36 |  |  | 881 |
| p-butoxy phenyl | phenyl |  |  |  |  |  |  |
| p-butoxy phenyl |  |  |  |  |  |  |  |
| p-methoxy phenyl | p-butoxyphenyl |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Benzoate, p-(acryloyloxy)-, phenyl | Benzoate, p-(acryloyloxy)-, p-butoxy phenyl | 1.5 |  | 0.49 |  |  | 881 |
| Benzoate, p-(acryloyloxy)-, phenyl | Benzoate, p-(methacryloyloxy)-, (p-octyloxy)phenyl | 0.23 |  | 1.26 |  |  | 881 |
| Benzoate, p-(acryloyloxy)-, p-butoxy phenyl | Benzoate, p-(acryloyloxy-ethoxy)-, p-butoxy phenyl | 0.91 |  | 0.36 |  |  | 856 |
| Benzoate, p-(acryloyloxy)-, p-butoxy phenyl | Benzoate, p-(acryloyloxy-ethoxy)-, phenyl | 0.32 |  | 0.61 |  |  | 856 |
| Benzoate, p-(acryloyloxy)-, phenyl | Benzoate, p-(acryloyloxy-ethoxy)-, p-methoxy phenyl | 1.5 |  | 0.49 |  |  | 856 |
| Benzoate, p-(acryloyloxy)-, phenyl | Benzoate, p-(methacryloyloxy-ethoxy)-, p-methoxy phenyl | 0.23 |  | 1.26 |  |  | 856 |
| Benzoate, p-(acryloyloxy-ethoxy)-, p-butoxy phenyl | Benzoate, p-(acryloyloxy)-, p-butoxy phenyl | 0.36 |  | 0.91 |  |  | 856 |
| Benzoate, p-(acryloyloxy-ethoxy)-, p-methoxy phenyl | Benzoate, p-(acryloyloxy)-, phenyl | 0.49 |  | 1.5 |  |  | 856 |
| Benzoate, p-(acryloyloxy-ethoxy)-,phenyl | Benzoate, p-(acryloyloxy)-, p-butoxy phenyl | 0.61 |  | 0.32 |  |  | 856 |
| Benzoate, p-(methacryloyloxy)-, p-octyloxy phenyl | Benzoate, p-(acryloyloxy)-, phenyl | 1.26 |  | 0.23 |  |  | 881 |
| Benzoate, p-(methacryloyloxyethoxy)-, p-octyloxy phenyl | Benzoate, p-(acryloyloxy)-, phenyl | 1.26 |  | 0.23 |  |  | 856 |
| Benzocyclobutane, a-methylene- | Maleic anhydride | 0.002 |  | 0.025 |  |  | 1083 |
| Benzocyclobutane, a-methylene- | Methacrylate, methyl | 0.46 |  | 0.32 |  |  | 1083 |
| Benzocyclobutene, 4-vinyl-Benzofuran, 2-vinyl- | Methacrylate, methyl Acrylate, butyl | 1.47 7.8 | 1.36 | 0.6 0.041 | 0.043 | N | 1085 1020 |
|  |  | 5.76 | 0.334 |  |  |  |  |
| Benzofuran, 2-vinyl- | Acrylate, ethyl |  |  | 0.015 | 0.01 | N | 1020 |
| Benzophenone, p-vinyl- | Styrene, p-N,N-dimethyl-aminomethyl- | 2.54 | 0.136 | 0.26 | 0.017 | Y | 86 |
| Benzothiazole, vinylmercapto- | Fumaronitrile |  |  |  |  | Y | 763 |
| Benzothiazole, vinylmercapto- | Maleic anhydride |  |  |  |  | Y | 763 |
| Benzothiazolone, N-[(methacroyloxy)-methyl] | Styrene | 3.1 | 0.01 | 0.35 | 0.02 |  | 960 |
| Bicyclo[2,2,1]hept-2-ene-5,6-dicarboximide, Methacrylate, methyl |  | 0 |  | 30.5 |  |  | 994 |
| Bicyclo[2,2,1]hept-2-ene-5,6-dicarboximide, Methacrylate, methyl |  | 0 |  | 108 |  |  | 994 |
| Bicyclo[2,2,1]hept-2-ene-5,6-dicarboximide, Styrene |  | 0 |  | 18.2 |  |  | 994 |
| Bicyclo[2,2,1]hept-2-ene-5,6-dicarboximide, Styrene |  | 0 |  | 89.2 |  |  | 994 |
| Bicyclo[2,2,1]hept-2-ene-5,6-dicarboximide, Vinyl acetate |  | 0.35 |  | 1.26 |  |  | 994 |
| Bicyclo[2,2,1]hept-2-ene-5,6-dicarboximide, Vinyl acetate |  | 0.15 |  | 1.46 |  |  | 994 |
| Bicyclo[2,2,1]hept-2-ene-5,6-dicarboximide, Vinyl acetate |  | 0.014 |  | 1.99 |  |  | 994 |
| Borazine, β-vinyl | Styrene | 0.001 | 0.016 | 4.53 | 0.62 |  | 1018 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Butadiene Butadiene | Acrylonitrile Acrylonitrile | 0.35 0.1 |  | 0.05 0.06 |  |  | 418 501 |
| Butadiene | Butadiene, 2-phthalidomethyl | 1.014 | 0.049 | 1.35 | 0.45 | Y | 735 |
| Butadiene | Ferrocene, ethyl-oc-cylopentadienylide | 0.02 |  | 1.51 |  |  | 699 |
| Butadiene | Maleamic acid, N-3-dimethylamino- | 0.37 | 0.04 | -0.08 | 0.03 | N | 679 |
|  | 6-methyl phenyl |  |  |  |  |  |  |
| Butadiene Butadiene | Maleate, diethyl Methacrylate, 2-(AW-dimethyl- | 8.08 1.06 |  | 0.11 0.35 |  |  | 466 600 |
|  | carbamoyloxy)ethyl |  |  |  |  |  |  |
| Butadiene Butadiene | Methacrylonitrile Methyleneglutaronitrile, 2- | 0.39 | 0.15 | 0.053 | 0.016 | Y N | 257 196 |
| Butadiene | Styrene |  |  |  |  | Y | 21 |
| Butadiene, l-(2-hydroxyethylthio)- | Styrene, /?-chloro- | 3.27 |  | 0.24 |  |  | 810 |
| Monomer 1 | Monomer 2 | T1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Butadiene, 2,3-dichloro- | Methacrylate, methyl Butadiene, 2,3-dichloro- Phosphonic acid, a-phenylvinyl- | 11.04 7.75 |  | 0.08 0.07 |  | Y | 61 588 |
| Butadiene, 2,3-chloro- |  | 5.19 |  | 0.06 |  |  | 457 |
| Butadiene, 2,3-chloro- | Acrylate, methyl Butadiene, 2,3-chloro- Acrylonitrile | 10.4 5.35 |  | 0.06 0.04 |  | Y | 61 402 |
| Butadiene, 2,3-chloro- Butadiene, hexafluoro- |  | 5.47 |  | 0.1 |  |  | 127 |
| Butadiene, 2,3-dichloro- | Methacrylate, methyl | 11.04 | 0.08 |  |  | Y | 61 |
| Butadiene, 2-chloro- | Methacrylate, methyl | 6.33 |  | 0.08 |  | Y |  |
| Butadiene, 2-chloro- | Vinyl butyrate |  |  |  |  | N | 247 |
| Butadiene, 2-chloro- | Vinyl propionate |  |  |  |  | N | 247 |
| Butadiene, 2-chloro- | Vinylidene cyanide |  |  |  |  | Y | 82 |
| Butadiene, 2-phthalidomethyl- | Butadiene | 1.35 | 0.45 | 1.014 | 0.049 | Y | 735 |
| 61 | Butadiene, 2-chloro- Methacrylic acid Butadiene, 2-chloro- Phosphonate, vinyl-,dimethyl Butadiene, 2-chloro- Phosphonic acid, a-phenylvinyl- Butadiene, 2-fluoro- Methacrylate, methyl | 2.52 7.5 7.5 1.23 | 0.2 1.77 | -0.035 0.1 0.1 0.76 | 0.058 0.77 | Y Y | 546 174 |
| 259 |  |  |  |  |  |  |  |
| 594 |  |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Butadiene-1-carboxylate, S-(-)-a-phenethyl- | Styrene | 6.81 | 1.68 | 0.45 | 0.13 | Y | 748 |
| ammonium |  |  |  |  |  |  |  |
| Butene, cis-2- | Maleimide, N-cyclohexyl- | 3 |  | 0 |  |  | 995 |
| Butene-1 | Ethylene | 3.25 |  |  |  |  | 388 |
| Butene-1, 4-cyclohexyl- | Acrylonitrile | 0.014 | 0.055 | 5.03 | 0.76 | Y | 24 |
| Butene-2 | Ethylene |  |  | 7.5 |  |  | 477 |
| Butenoate, 3-phenyl-3-, methyl | Styrene | -0.532 | 0.512 | 1.97 | 0.364 | Y | 1008 |
| Caprolactam, N-vinyl- | Crotonaldehyde | 0.31 |  |  |  |  | 875 |
| Carbamate, N-phenyl-, vinyl | Methacrylate, butyl | 0.329 |  |  |  |  | 833 |
| Carbamate, N-phenyl-, vinyl | Methacrylate, di-, triethylene-glycol | 0.034 | 0.504 |  |  |  | 833 |
| Butadiene, hexafluoro-Butadiene, 2-chloro-0.1Butadiene-1-carboxylate, ethylAcrylonitrile3.2Butene-1Vinyl acetate0.11Butene-1, 3,3-dimethyl-Vinyl chloride-0.07Butene-1, 4-(p-chlorophenyl)-Acrylonitrile-0.066Butene-2Vinyl chloride-1.79Butene-2, 2-methyl-Vinyl chloride0.3Butene-2, cis-Acrylonitrile0.11Caprolactam, N-vinyl-Crotonaldehyde0.31Caprolactam, N-vinyl-Crotonaldehyde0.31Caprolactam, N-vinyl-Vinyl acetate0.31Caprolactam, N-vinyl-Vinyl butyl ether3.1Carbamate, N,N-diethyl-, vinylStyrene-0.08Carbamate, N,N-diethyl-, vinylVinyl acetate0.130.19Carbamate, N-phenyl-, vinylMethacrylate, di-, triethylene-glycol0.0340.504 | 0.422.50.0445.225.310.0055.30.18 | 5.470.31.556.184.683.38.5222.32000.630.0329.561.7 | 0.2413.570.632.1810.540.733.590.04 | Y Y Y N N Y Y Y Y | 127791211624329329211211875907557215197197833 |  |  |
| Monomer 1 |  | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Carbamate, N-vinyl-, ethyl |  | Pyrrolidone, N-vinyl- | 0.371 | 0.05 | 1.77 | 0.12 | Y | 81 |
| Carbamate, N-vinyl-, ethyl |  | Vinyl acetate | 2.09 |  | 0.39 |  |  | 629 |
| Carbamate, N-vinyl-, ethyl |  | Vinyl acetate | 0.4 | 0.26 | 0.418 | 0.063 | Y | 81 |
| Carbamate, N-vinyl-, tert-butyl |  | Vinyl acetate | 0.46 | 0.03 | 1.12 | 0.07 | N | 827 |
| Carbamate, N-vinyl-, tert-butyl |  | Methacrylate, methyl | 0.17 | 0.1 | 1.87 | 0.2 |  | 991 |
| Carbamate, N-vinyl-, tert-butyl |  | N-Vinylpyrrolidone | 2.4 | 0.5 | 0.4 | 0.06 |  | 991 |
| Carbazole, 2-butenyl- |  | Carbazole, 9-vinyl- | 0.02 | 0.003 | 2.6 | 0.5 |  | 904 |
| Carbazole, 9-propenyl- |  | Carbazole, 9-vinyl- | 0.02 | 0.003 | 2.8 | 0.5 |  | 904 |
| Carbazole, 9-vinyl- |  | Carbazole, 2-butenyl- | 2.6 | 0.5 | 0.02 | 0.003 |  | 904 |
| Carbazole, 9-vinyl- |  | Carbazole, 9-propenyl- | 2.8 | 0.5 | 0.02 | 0.003 |  | 904 |
| Carbazole, N-butenyl- |  | Carbazole, N-vinyl- | 0.02 |  | 2.6 |  |  | 871 |
| Carbazole, N-methyl-3-vinyl |  | Styrene | 1.404 | 0.146 | 0.735 | 0.067 |  | 806 |
| Carbazole, N-propenyl- |  | Carbazole, N-vinyl- | 0.02 |  | 2.8 |  |  | 871 |
| Carbazole, N-vinyl- |  | Acenaphthalene | -0.03 | 0.12 | 6.62 | 1.77 | N | 331 |
| Carbazole, N-vinyl- |  | Acrylate, ethyl | 0.27 |  | 1.1 |  |  | 757 |
| Carbazole, N-vinyl- |  | Acrylate, methyl | 0.049 | 0.029 | 0.53 | 0.13 | Y | 13 |
| Carbazole, N-vinyl- |  | Acrylate, methyl | 0.11 |  | 0.43 |  |  | 551 |
| Carbazole, N-vinyl- |  | Acrylate, methyl | 0.028 | 0.045 | 0.51 | 0.073 | Y | 98 |
| Carbazole, N-vinyl- |  | Acrylonitrile | 0.09 | 0.04 | 0.39 | 0.04 | N | 269 |
| Carbazole, N-vinyl- |  | Carbazole, N-butenyl- | 2.6 |  | 0.02 |  |  | 871 |
| Carbazole, N-vinyl- |  | Carbazole, N-propenyl- | 2.8 |  | 0.02 |  |  | 871 |
| Carbazole, N-vinyl- |  | Fumarate, diisopropyl | 0 |  | 0 |  |  | 1038 |
| Carbazole, N-vinyl- |  | Maleate, diethyl | 0.21 | 0.05 | 0 | 0.01 | N | 361 |
| Carbazole, N-vinyl- |  | Maleate, dimethyl | 0.51 | 0.11 | 0 | 0.01 | N | 361 |
| Carbazole, N-vinyl- |  | Methacrylate, methyl | 0.14 | 0.03 | 1.55 | 0.16 | N | 11 |
| Carbazole, N-vinyl- |  | Methacrylate, methyl | 0.033 | 0.015 | 2.12 | 0.14 | Y | 13 |
| Carbazole, N-vinyl- |  | Methacrylate, methyl | 0.06 |  | 1.8 |  |  | 738 |
| Carbazole, N-vinyl- |  | Methacrylate, methyl | 0.75 |  | 0.57 |  |  | 738 |
| Carbazole, N-vinyl- |  | Methacrylate, methyl | 0.08 | 0.05 | 1.84 | 0.26 | N | 758 |
| Carbazole, N-vinyl- |  | Methacrylate, methyl | 0.33 | 0.18 | 0.44 | 0.22 | N | 758 |
| Carbazole, N-vinyl- |  | Methacrylate, methyl | 0.031 | 0.022 | 2.123 | 0.048 | Y | 98 |
| Carbazole, N-vinyl- |  | Propene, 2,3-dichloro- | 1 | 0.06 | 0 | 1.34 | N | 376 |
| Carbazole, N-vinyl- |  | Styrene | -0.02 | 0.034 | 5.93 | 1.05 | Y | 13 |
| Carbazole, N-vinyl- |  | Styrene | 0.032 | 0.057 | 5.72 | 0.4 | Y | 98 |
| Carbazole, N-vinyl- |  | Styrene, p-chloro- | 0.02 |  | 7 |  |  | 551 |
| Carbazole, N-vinyl- |  | Succinimide, N-vinyl- | 0.04 | 0.09 | 0.11 | 0.83 | Y | 284 |
| Carbazole, N-vinyl- |  | Vinyl acetate | 2.67 | 0.13 | 0.126 | 0.023 | Y | 246 |
| Carbazole, N-vinyl- |  | Vinyl acetate | 3.02 |  | 0.15 |  |  | 246 |
| Carbazole, N-vinyl- |  | Vinyl acetate | 3.9 |  | 0.13 |  |  | 551 |
| Carbazole, N-vinyl- |  | Vinyl butyrate | 1.33 | 0.34 | 0.07 | 0.12 | Y | 246 |
| Carbazole, N-vinyl- |  | Vinyl chloride | 4.77 |  | 0.17 |  |  | 427 |
| Carbazole, N-vinyl- |  | Vinyl formate | 4.142 | 0.011 | 0.192 | 0.001 | Y | 246 |
| Carbazole, N-vinyl- |  | Vinyl propionate | 1.69 | 0.21 | 0.081 | 0.073 | Y | 246 |
| Carbazole, N-vinyl- |  | Vinyl thiolacetate | 0.44 | 0.28 | 0.45 | 0.15 | N | 97 |
| Carbazole, N-vinyl- |  | Vinylidene chloride | 3.6 | 0.12 | -0.023 | 0.068 | Y | 13 |
| Carbazole, N-vinyl- |  | Vinylidene chloride | 3.65 | 0.3 | -0.008 | 0.018 | Y | 98 |
| Carbon monoxide |  | Ethylene | 0.32 | 0.65 | 0.068 | 0.012 | Y | 51 |
| Carbon monoxide |  | Ethylene | 0.004 | 0.012 | 0.025 | 0.006 | Y | 51 |
| Carbon monoxide |  | Ethylene | -0.15 | 0.07 | 0.04 | 0.01 | N | 52 |
| Carbon monoxide |  | Ethylene | 0 |  | 0.5 |  |  | 52 |
| Carbon monoxide |  | Vinyl acetate | 0.33 |  | 0.24 |  |  | 474 |
| Carbon monoxide |  | Vinyl chloride | 0.121 | 0.011 | 13.52 | 0.25 | Y | 184 |
| Cinnamat, methyl |  | Styrene | 0.04 | 0.13 | 1.799 | 0.073 | Y | 488 |
| Cinnamate, 2-chloroethyl |  | Styrene | 0.01 | 0.11 | 1.394 | 0.068 | Y | 488 |
| Cinnamate, α-cyano-, 2-ethylhexyl |  | Styrene | 0.06 | 0.01 | 0.58 | 0.004 | N | 282 |
| Cinnamate, α-cyano-, benzyl |  | Styrene | -0.16 | 0.17 | 0.4 | 0.03 | N | 282 |
| Cinnamate, α-cyano-, butyl |  | Styrene | -0.09 | 0.08 | 0.47 | 0.03 | N | 282 |
| Cinnamate, α-cyano-, cyclohexyl |  | Styrene | -0.24 | 0.22 | 0.37 | 0.04 | N | 282 |
| Cinnamate, α-cyano-, ethyl |  | Acrylonitrile | -0.18 | 0.15 | 12.6 | 2.3 | Y | 310 |
| Cinnamate, α-cyano-, ethyl |  | Styrene |  |  |  |  | Y | 134 |
| Cinnamate, α-cyano-, hexyl |  | Styrene | -0.17 | 0.26 | 0.39 | 0.04 | N | 282 |
| Cinnamate, α-cyano-, methyl |  | Pyrrolidone, N-vinyl- | -0.001 | 0.001 | 0.044 | 0.008 | Y | 816 |
| Cinnamate, α-cyano-, methyl |  | Styrene | -0.21 | 0.35 | 0.4 | 0.06 | N | 282 |
| Cinnamate, benzyl |  | Styrene | 0.14 | 0.13 | 1.33 | 0.12 | Y | 488 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Cinnamate, dibutylchlorotin | Acrylate, methyl | -0.2 |  | 1.65 |  |  | 659 |
| Cinnamide, N,N-diethyl- | Styrene | 0.01 |  | 4.17 |  |  | 737 |
| Cinnamide, p-chloro-, N,N-diethyl- | Styrene | 0.01 |  | 2.99 |  |  | 737 |
| Cinnamide, p-methyl-, N,N-diethyl- | Styrene | 0.01 |  | 4.95 |  |  | 737 |
| Cinnamonitrile, a-cyano- | Acrylonitrile |  |  |  |  | Y | 310 |
| Cinnamonitrile, a-cyano- | Styrene |  |  |  |  | Y | 134 |
| Citraconimide, β-iso-, N-(4-acetylphenyl)- | Styrene | 0 |  | 0.42 |  |  | 608 |
| Citraconimide, β-iso-, N-(4-acetylphenyl)- | Styrene | 0 |  | 0.28 |  |  | 608 |
| Citraconimide, β-iso-, N-(4-ethoxycarbonylphenyl)- |  |  |  |  |  |  |  |
| Citraconimide, β-iso-, N-(4-methoxyphenyl)- | Styrene | 0 |  | 0.27 |  |  | 608 |
| Citraconimide, β-iso-, N-(p-tolyl)- | Styrene | 0 |  | 0.4 |  |  | 608 |
| Citraconimide, β-iso-, N-phenyl- | Styrene | 0 |  | 0.39 |  |  | 608 |
| Citraconimide, N-allyl | Styrene | 0.004 | 0.14 | 0.142 | 0.28 | Y | 959 |
| Citraconimide, N-benzyl | Styrene | -0.066 | 0.082 | 0.19 | 0.087 | Y | 714 |
| Citraconimide, N-butyl | Methacrylate, methyl | -0.12 | 0.36 | 2.17 | 0.56 | Y | 714 |
| Citraconimide, N-butyl | Styrene | 0.03 | 0.045 | 0.169 | 0.028 | Y | 714 |
| Citraconimide, N-ethyl | Methacrylate, methyl | -0.04 | 0.33 | 3.25 | 0.79 | Y | 714 |
| Citraconimide, N-ethyl | Styrene | -0.002 | 0.05 | 0.231 | 0.044 | Y | 714 |
| Citraconimide, N-hexyl | Methacrylate, methyl | -0.08 | 0.28 | 2.38 | 0.45 | Y | 714 |
| Citraconimide, N-hexyl | Styrene | -0.03 | 0.11 | 0.316 | 0.086 | Y | 714 |
| Citraconimide, N-isobutyl | Methacrylate, methyl | -0.18 | 0.42 | 1.78 | 0.85 | Y | 714 |
